id,name,from,to,building,floor,weight,length,type,left,right
1,,1,5,5,1,1,3.9,1,,
2,M_Toilet,5,6,5,1,1,2.4,1,,M_Toilet
3,,6,7,5,1,1,2,1,,
4,511;Natural_Science_Laboratory1;Natural_Science_Laboratory2;Life_Science_Laboratory1;Life_Science_Laboratory2;Life_Science_Laboratory3;PE_Practice _Room;Social _And_PE_Laboratory;Physiological_Laboratory;Physical_Fitness_Measurement Room;PE_Laboratory;Electrical_Room;Changing_Room,5,8,5,1,1,49.8,1,511;Natural_Science_Laboratory1;Natural_Science_Laboratory2;Life_Science_Laboratory1;Life_Science_Laboratory2;Life_Science_Laboratory3,Changing_Room;PE_Practice _Room;Social _And_PE_Laboratory;Physiological_Laboratory;Physical_Fitness_Measurement_Room;PE_Laboratory
5,,8,9,5,1,1,2.1,1,,
6,,9,10,5,1,1,2.299999999999997,1,,
7,,10,2,5,1,1,2.3999999999999986,1,,
8,,7,13,5,1,5,4.18,2,,
9,,10,18,5,1,5,4.18,2,,
10,,13,12,5,2,1,2,1,,
11,,12,11,5,2,1,2.4,1,,
12,,11,3,5,2,1,4.2,1,,
13,,11,4,5,2,1,2.1,1,,
14,,12,14,5,2,1,6.5,1,,
15,G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12,14,15,5,2,1,49.800000000000004,1,G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12,
16,521;522;523;524;525;526;527;528;M_Toilet,11,17,5,2,1,49.8,1,521;522;523;524,525;526;527;528;M_Toilet
17,,15,16,5,2,1,6.800000000000001,1,,
18,,16,17,5,2,1,2.1,1,,
19,,16,18,5,2,1,2.299999999999997,1,,
20,,13,19,5,2,5,4.18,2,,
21,,18,20,5,2,5,4.18,2,,
22,51;52;53;54;55;56;G13;G14;G15,19,20,5,3,1,54.10083178658162,1,51;52;53;54;55;56;G13;G14;G15,
23,,4,21,5,1,5,18.38157773424251,2,,
24,,1,22,5,1,5,20,1,,
