id,name,from,to,building,floor,weight,length,type,left,right
1,,9,10,2,1,1,7.8,1,,
2,,33,9,2,1,1,6.6,1,,
3,,10,11,2,1,1,8.7,1,,
4,,11,12,2,1,1,2.200000000000001,1,,
5,211,10,13,2,1,1,27.099999999999998,1,211,
6,M_Toilet;F_Toilet;,13,14,2,1,1,10.2,1,,M_Toilet;F_Toilet;
7,,13,27,2,1,1,20.9,1,,
8,,13,26,2,1,1,2,1,,
9,,27,28,2,1,1,9.6,1,,
10,,16,17,2,1,1,2.4,1,,
11,,27,16,2,1,1,4.400000000000006,1,,
12,,15,18,2,1,5,11.711959699384213,2,,
13,,11,2,2,0,1,4.9,4,,
14,,12,1,2,0,5,4.901020301937139,2,,
15,,1,2,2,0,1,2.3000000000000007,1,,
16,,2,3,2,0,1,6.999999999999999,1,,
17,201,3,4,2,0,1,27.099999999999998,1,201,
18,M_Toilet;F_Toilet;C_Toilet,4,5,2,0,1,10.100000000000001,1,,M_Toilet;F_Toilet;C_Toilet
19,,4,7,2,0,1,12.600000000000001,1,,
20,202,7,8,2,0,1,7,1,202,
21,,6,7,2,0,1,2.4,1,,
22,,6,17,2,0,5,13.718236038208413,2,,
23,,11,23,2,1,1,4.2,4,,
24,,12,24,2,1,5,4.201190307520001,2,,
25,,24,23,2,2,1,2.3000000000000007,1,,
26,,23,22,2,2,1,2.5999999999999996,1,,
27,221;222;223;224,22,20,2,2,1,26.999999999999996,1,221;222;223;224,
28,M_Toilet;F_Toilet;C_Toilet,21,20,2,2,1,5.800000000000001,1,,M_Toilet;F_Toilet;C_Toilet
29,,20,29,2,2,1,15.100000000000001,1,,
30,,29,18,2,2,1,6.3999999999999995,1,225;226;227,
31,225;226;227,29,19,2,2,1,9,1,,
32,,19,30,2,2,1,7.100000000000001,1,,
33,,30,31,2,2,1,1.9000000000000057,1,,
34,,22,25,2,2,1,24,1,,
35,,26,15,2,1,1,4.200000000000003,1,,
36,,31,32,2,1,1,1.5999999999999996,1,,
